Score,English,Math,Reading,Science,Composite
36,100,100,100,100,100
35,99,99,98,99,99
34,96,99,96,98,99
33,94,98,94,97,98
32,92,97,91,96,96
31,91,96,89,95,95
30,89,94,86,93,93
29,88,93,84,92,90
28,86,91,82,90,88
27,84,88,80,88,85
26,82,84,77,85,82
25,79,79,74,82,78
24,75,74,71,77,74
23,71,70,66,71,70
22,65,65,61,64,64
21,60,61,55,58,59
20,55,58,50,51,53
19,49,54,44,45,47
18,45,49,39,39,41
17,41,42,34,32,35
16,37,33,29,26,28
15,32,21,24,19,22
14,25,11,19,14,16
13,19,4,14,10,10
12,15,1,10,7,5
11,11,1,5,4,2
10,7,1,3,3,1
9,3,1,1,1,1
8,2,1,1,1,1
7,1,1,1,1,1
6,1,1,1,1,1
5,1,1,1,1,1
4,1,1,1,1,1
3,1,1,1,1,1
2,1,1,1,1,1
1,1,1,1,1,1
