SAT Composite Score, 2020 Percentile,2019 Percentile,2018 Percentile,2017 Percentile,2016 Percentile
1600,100,100,100,100,100
1590,100,100,100,100,100
1580,100,100,100,100,100
1570,100,100,100,100,100
1560,100,100,100,100,100
1550,99,100,100,100,100
1540,99,99,99,100,99
1530,99,99,99,100,99
1520,99,99,99,99,99
1510,98,99,99,99,99
1500,98,98,99,99,98
1490,98,98,98,99,98
1480,97,98,98,99,98
1470,97,97,98,98,98
1460,97,97,97,98,97
1450,96,96,97,98,97
1440,96,96,96,97,96
1430,95,96,96,97,96
1420,95,95,95,96,95
1410,94,95,95,96,95
1400,94,94,94,95,94
1390,93,93,94,95,94
1380,92,93,93,94,93
1370,92,92,92,94,92
1360,91,91,92,93,91
1350,90,91,91,92,91
1340,89,90,90,91,90
1330,89,89,89,90,89
1320,88,88,88,90,88
1310,87,87,88,89,87
1300,86,86,87,88,86
1290,85,85,86,87,85
1280,84,84,84,86,83
1270,83,83,83,85,82
1260,82,82,82,83,81
1250,81,81,81,82,80
1240,80,80,80,81,78
1230,78,78,79,80,77
1220,77,77,77,78,76
1210,76,76,76,77,74
1200,74,74,74,76,72
1190,73,73,73,74,71
1180,72,72,72,73,69
1170,70,70,70,71,67
1160,69,68,68,69,65
1150,67,67,67,68,64
1140,66,65,65,66,62
1130,64,64,63,64,60
1120,62,62,62,63,58
1110,61,60,60,61,57
1100,59,58,58,59,55
1090,57,57,56,57,52
1080,55,55,54,55,50
1070,54,53,52,53,48
1060,52,51,51,51,46
1050,50,49,49,49,44
1040,48,47,47,47,42
1030,46,46,45,45,40
1020,45,44,43,43,38
1010,43,42,41,41,36
1000,41,40,39,40,34
990,39,38,37,38,32
980,38,36,36,36,30
970,36,35,34,34,29
960,34,33,32,32,27
950,33,31,31,31,25
940,31,30,29,29,24
930,29,28,27,27,22
920,28,27,26,26,20
910,26,25,24,24,19
900,25,23,23,22,18
890,23,22,21,21,16
880,22,20,20,19,15
870,20,19,18,18,14
860,19,18,17,17,13
850,18,16,15,15,12
840,16,15,14,14,11
830,15,14,13,13,10
820,14,13,12,12,9
810,12,11,11,11,8
800,11,10,10,9,7
790,10,9,9,8,7
780,9,8,8,8,6
770,8,7,7,7,5
760,7,6,6,6,4
750,6,5,5,5,4
740,5,5,4,4,3
730,5,4,4,4,3
720,4,3,3,3,2
710,3,3,3,3,2
700,3,2,2,2,2
690,2,2,2,2,2
680,2,1,1,1,1
670,1,1,1,1,1
660,1,1,1,1,1
650,1,1,1,1,1
640,1,1,1,1,0
630,1,0,0,0,0
620,0,0,0,0,0
610,0,0,0,0,0
600,0,0,0,0,0
590,0,0,0,0,0
580,0,0,0,0,0
570,0,0,0,0,0
560,0,0,0,0,0
550,0,0,0,0,0
540,0,0,0,0,0
530,0,0,0,0,0
520,0,0,0,0,0
510,0,0,0,0,0
500,0,0,0,0,0
490,0,0,0,0,0
480,0,0,0,0,0
470,0,0,0,0,0
460,0,0,0,0,0
450,0,0,0,0,0
440,0,0,0,0,0
430,0,0,0,0,0
420,0,0,0,0,0
410,0,0,0,0,0
400,0,0,0,0,0
